,datetime,open,high,low,close,volume,rsi
0,2022-04-16,42.734,43.1,41.318,41.818,21239559.6018,
1,2022-04-17,41.818,48.5,41.634,44.79,97725428.2163,
2,2022-04-18,44.79,44.815,40.211,43.382,79097915.6728,
3,2022-04-19,43.382,43.999,42.931,43.484,16440648.2452,
4,2022-04-20,43.484,44.241,42.35,42.784,25080064.1291,
5,2022-04-21,42.784,46.131,41.766,42.132,43592437.6746,
6,2022-04-22,42.132,42.668,40.949,41.298,28897548.2947,
7,2022-04-23,41.298,42.0,40.75,41.01,13056372.6702,
8,2022-04-24,41.01,41.601,40.502,40.786,19616738.3618,
9,2022-04-25,40.786,42.0,39.61,41.844,31413956.3321,
10,2022-04-26,41.844,42.217,38.235,38.668,28581753.6482,
11,2022-04-27,38.685,39.789,38.427,39.571,17320524.065,
12,2022-04-28,39.571,40.809,39.346,39.832,19457088.526,
13,2022-04-29,39.832,40.441,38.393,38.786,14732579.7027,34.79407882801043
14,2022-04-30,38.786,39.359,37.883,37.958,13667309.2811,31.607575336118174
15,2022-05-01,37.958,39.307,37.771,39.118,17932175.4847,39.910313290596456
16,2022-05-02,39.118,39.943,38.53,39.133,23156648.8598,40.01172722723843
17,2022-05-03,39.133,39.248,37.612,37.787,12547737.2314,34.40113220564635
18,2022-05-04,37.787,39.714,37.684,39.55,17653619.3757,45.23360720363504
19,2022-05-05,39.55,39.814,35.766,36.228,19230325.0954,33.880530879281125
20,2022-05-06,36.228,36.321,35.0,35.878,17459378.1509,32.94240579755352
21,2022-05-07,35.878,35.957,34.49,35.071,6237651.3282,30.823175777280795
22,2022-05-08,35.071,35.131,33.465,33.814,12272618.0198,27.820963619341086
23,2022-05-09,33.814,34.056,30.101,30.181,43969852.3875,21.348768200252337
24,2022-05-10,30.181,34.815,29.517,33.066,39086023.8939,34.39992211447287
25,2022-05-11,33.066,33.658,26.26,29.799,72538392.6668,28.610260348346955
26,2022-05-12,29.799,31.238,25.1,29.556,91807040.2396,28.22968246258111
27,2022-05-13,29.556,32.546,29.272,30.759,23956401.5538,32.98252920168086
28,2022-05-14,30.759,31.626,29.893,31.476,9835784.026,35.71500768318033
29,2022-05-15,31.476,32.7,30.874,32.626,9591305.9342,39.9444693537336
30,2022-05-16,32.626,32.644,30.783,31.769,28963821.4231,37.941134815087906
31,2022-05-17,31.769,32.587,31.124,31.99,13609034.4613,38.79362544320304
32,2022-05-18,31.99,32.222,29.554,29.61,14197494.8399,33.462556831272636
33,2022-05-19,29.61,31.471,29.554,30.901,24510905.2742,38.40701939708396
34,2022-05-20,30.901,31.25,29.164,29.691,15791332.0271,35.72725595694894
35,2022-05-21,29.691,30.272,29.416,30.052,6543921.2704,37.13651497221189
36,2022-05-22,30.052,30.908,29.935,30.717,4802226.588,39.75693069772631
37,2022-05-23,30.717,31.122,29.416,29.647,19264072.6734,37.07872832821938
38,2022-05-24,29.647,30.057,28.661,29.79,33362152.0075,37.68291978650848
39,2022-05-25,29.79,30.253,28.014,28.972,13420737.8887,35.57834308565931
40,2022-05-26,28.972,29.29,26.499,27.494,31676193.3706,32.09089424554797
41,2022-05-27,27.494,27.635,26.212,26.37,20904418.956,29.70613349371702
42,2022-05-28,26.37,27.219,26.306,27.065,10127470.1575,33.02055484878639
43,2022-05-29,27.065,27.363,26.708,27.258,8176248.8207,33.95189396245404
44,2022-05-30,27.258,29.407,27.088,29.16,20588764.1023,42.44535269138176
45,2022-05-31,29.16,29.465,28.452,28.923,16540186.2289,41.725329468904135
46,2022-06-01,28.923,29.085,26.484,26.86,16771147.8396,36.00052387758902
47,2022-06-02,26.86,27.243,26.388,27.118,13237998.4388,37.161680207192056
