,datetime,open,high,low,close,volume,rsi
0,2022-05-06,1.0002,1.0003,1.0001,1.0002,611408836.0,
1,2022-05-07,1.0002,1.0004,1.0002,1.0004,557288568.0,
2,2022-05-08,1.0003,1.0004,1.0001,1.0004,1154144784.0,
3,2022-05-09,1.0004,1.0004,1.0001,1.0002,1553081146.0,
4,2022-05-10,1.0002,1.0005,1.0,1.0004,1591785639.0,
5,2022-05-11,1.0003,1.01,1.0003,1.0053,4803369213.73,
6,2022-05-12,1.0053,1.1,1.0018,1.0029,4472986064.52,
7,2022-05-13,1.003,1.0039,1.0008,1.0018,2126287302.0,
8,2022-05-14,1.0019,1.0025,1.0012,1.0015,1858707509.0,
9,2022-05-15,1.0014,1.0017,1.0011,1.0012,1072090001.0,
10,2022-05-16,1.0011,1.0017,1.001,1.0014,1646071749.0,
11,2022-05-17,1.0014,1.0015,1.0011,1.0012,1023835876.0,
12,2022-05-18,1.0012,1.0015,1.0011,1.0014,902341361.0,
13,2022-05-19,1.0013,1.0015,1.001,1.0011,1145485123.0,50.84310177724369
14,2022-05-20,1.0011,1.0013,1.0007,1.0013,1067346422.0,52.45064955438066
15,2022-05-21,1.0012,1.0015,1.0012,1.0013,499906663.0,52.45064955438066
16,2022-05-22,1.0013,1.0014,1.001,1.001,628965467.0,49.62732435334259
17,2022-05-23,1.0011,1.0012,1.0008,1.0011,1044546713.0,50.58222168390833
18,2022-05-24,1.0011,1.0012,1.001,1.0011,664926804.0,50.58222168390833
19,2022-05-25,1.001,1.0013,1.001,1.0011,697793577.0,50.58222168390833
20,2022-05-26,1.001,1.0012,1.001,1.0011,803152488.0,50.58222168390833
21,2022-05-27,1.0011,1.0013,1.001,1.0013,626141477.0,52.98002093352544
22,2022-05-28,1.0013,1.0013,1.001,1.001,330358548.0,49.12926648698748
23,2022-05-29,1.0011,1.0011,1.001,1.0011,289581021.0,50.42280417688898
24,2022-05-30,1.0011,1.0011,1.0006,1.0007,800058362.0,45.444958036735216
25,2022-05-31,1.0008,1.0008,1.0006,1.0007,730263074.0,45.444958036735216
26,2022-06-01,1.0008,1.0013,1.0007,1.0009,856216150.0,48.39896978276673
27,2022-06-02,1.001,1.001,1.0007,1.0008,475236781.0,47.027813988831056
28,2022-06-03,1.0007,1.0011,1.0007,1.0011,487164999.0,51.46972052532419
29,2022-06-04,1.001,1.0011,1.0008,1.0009,260911398.0,48.547063138782235
30,2022-06-05,1.0008,1.0009,1.0008,1.0009,234591107.0,48.547063138782235
31,2022-06-06,1.0008,1.0009,1.0008,1.0009,508508705.0,48.547063138782235
32,2022-06-07,1.0008,1.0011,1.0005,1.0007,1241512981.0,45.33203095936054
33,2022-06-08,1.0006,1.0009,1.0005,1.0008,748979677.0,47.21434869412756
34,2022-06-09,1.0008,1.0009,1.0006,1.0008,698661557.0,47.21434869412756
35,2022-06-10,1.0008,1.0011,1.0008,1.001,511699306.0,51.11831053824318
36,2022-06-11,1.0011,1.0013,1.001,1.0012,459249268.0,54.724416003364965
37,2022-06-12,1.0012,1.0014,1.0011,1.0012,725304046.0,54.724416003364965
38,2022-06-13,1.0012,1.0042,1.0009,1.0015,2205783516.0,59.87406898507194
39,2022-06-14,1.0015,1.0016,1.0011,1.0011,1161045816.0,51.46830504086694
40,2022-06-15,1.0012,1.0023,1.0011,1.0013,1491379139.0,54.879211317830276
41,2022-06-16,1.0012,1.0015,1.0011,1.0013,763858754.0,54.879211317830276
42,2022-06-17,1.0013,1.0015,1.0011,1.0012,781260584.0,52.7301790136573
43,2022-06-18,1.0012,1.0019,1.0012,1.0015,1159384154.0,58.03887813172148
44,2022-06-19,1.0015,1.0017,1.0013,1.0014,677935861.0,55.78971116974793
45,2022-06-20,1.0013,1.0015,1.0011,1.0013,771039602.0,53.55467400128804
46,2022-06-21,1.0012,1.0013,1.001,1.0012,644842309.0,51.33969993271961
47,2022-06-22,1.0012,1.0012,1.001,1.0011,448144279.0,49.15050741448577
48,2022-06-23,1.0012,1.0012,1.0008,1.001,580275997.0,46.99254308865493
49,2022-06-24,1.001,1.001,1.0007,1.0008,635392869.0,42.932615555841764
50,2022-06-25,1.0008,1.0009,1.0006,1.0006,335462490.0,39.27814100635363
51,2022-06-26,1.0006,1.0008,1.0006,1.0006,319256576.0,39.27814100635363
52,2022-06-27,1.0006,1.0012,1.0006,1.001,838813300.0,49.29030501031411
53,2022-06-28,1.0011,1.0014,1.001,1.0013,725908434.0,55.249973948752505
54,2022-06-29,1.0013,1.0017,1.0011,1.0013,1211574683.0,55.249973948752505
55,2022-06-30,1.0013,1.0014,1.0011,1.0013,1068008649.0,55.249973948752505
56,2022-07-01,1.0013,1.0014,1.0011,1.0012,595323505.0,52.67276263309631
57,2022-07-02,1.0012,1.0014,1.0011,1.0012,355306456.0,52.67276263309631
58,2022-07-03,1.0012,1.0013,1.001,1.0011,382258711.0,49.96947589964222
59,2022-07-04,1.0011,1.0012,1.0011,1.0011,326892060.0,49.96947589964222
60,2022-07-05,1.0012,1.0012,1.001,1.001,495956879.0,47.16229553193042
61,2022-07-06,1.0011,1.0011,1.001,1.001,487185861.0,47.16229553193042
62,2022-07-07,1.001,1.0011,1.0006,1.0006,669908304.0,37.412213214492986
63,2022-07-08,1.0006,1.0008,1.0005,1.0007,539163393.0,40.71213646835128
64,2022-07-09,1.0006,1.0007,1.0005,1.0005,257927558.0,36.56031342941856
65,2022-07-10,1.0006,1.0007,1.0005,1.0006,268448254.0,39.862596525297235
66,2022-07-11,1.0006,1.001,1.0006,1.0008,472152095.0,45.92524656404657
67,2022-07-12,1.0009,1.0011,1.0008,1.0009,648729460.0,48.70950415346452
68,2022-07-13,1.001,1.0011,1.0008,1.0009,574847760.0,48.70950415346452
69,2022-07-14,1.0008,1.0009,1.0006,1.0008,727961382.0,45.96471611035141
70,2022-07-15,1.0008,1.0008,1.0003,1.0003,664140857.0,35.26459501040543
71,2022-07-16,1.0004,1.0004,1.0002,1.0003,485761211.0,35.26459501040543
72,2022-07-17,1.0003,1.0005,1.0001,1.0004,540724511.0,38.58099025121048
73,2022-07-18,1.0003,1.0004,1.0,1.0003,794650261.0,36.56374030315514
74,2022-07-19,1.0003,1.0004,0.9998,1.0,724625112.0,31.279817217711212
75,2022-07-20,0.9999,1.0,0.9998,1.0,737485742.0,31.279817217711212
76,2022-07-21,0.9999,1.0001,0.9998,0.9999,556793406.0,29.624775116577595
77,2022-07-22,0.9999,1.0,0.9998,1.0,531842748.0,33.41864268487744
78,2022-07-23,1.0,1.0,0.9998,1.0,346768449.0,33.41864268487744
79,2022-07-24,1.0,1.0001,0.9999,1.0,282709140.0,33.41864268487744
80,2022-07-25,0.9999,1.0,0.9998,0.9999,440852468.0,31.310470789865136
81,2022-07-26,1.0,1.0,0.9998,0.9999,464643758.0,31.310470789865136
82,2022-07-27,0.9999,1.0001,0.9996,0.9996,774369170.0,25.67512680198712
83,2022-07-28,0.9996,0.9999,0.9996,0.9997,761642726.0,30.185767458839365
